location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Holstenstraße (Mitte), Kiel;2020-07-26 00:00:00 +0200;Sunday;7657;21;rain;
Holstenstraße (Mitte), Kiel;2020-07-27 00:00:00 +0200;Monday;24172;22;rain;
Holstenstraße (Mitte), Kiel;2020-07-28 00:00:00 +0200;Tuesday;24905;21;rain;
Holstenstraße (Mitte), Kiel;2020-07-29 00:00:00 +0200;Wednesday;22918;18;rain;
Holstenstraße (Mitte), Kiel;2020-07-30 00:00:00 +0200;Thursday;24318;21;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-07-31 00:00:00 +0200;Friday;23673;24;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-01 00:00:00 +0200;Saturday;20275;27;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-02 00:00:00 +0200;Sunday;6683;24;rain;
Holstenstraße (Mitte), Kiel;2020-08-03 00:00:00 +0200;Monday;28324;21;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-04 00:00:00 +0200;Tuesday;26188;20;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-05 00:00:00 +0200;Wednesday;22770;27;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-06 00:00:00 +0200;Thursday;19111;31;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-07 00:00:00 +0200;Friday;18602;30;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-08 00:00:00 +0200;Saturday;17821;30;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-09 00:00:00 +0200;Sunday;5959;29;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-10 00:00:00 +0200;Monday;19353;29;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-11 00:00:00 +0200;Tuesday;17666;29;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-12 00:00:00 +0200;Wednesday;17486;28;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-13 00:00:00 +0200;Thursday;18616;27;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-14 00:00:00 +0200;Friday;21061;27;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-15 00:00:00 +0200;Saturday;19818;29;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-16 00:00:00 +0200;Sunday;5733;30;clear-day;
Holstenstraße (Mitte), Kiel;2020-08-17 00:00:00 +0200;Monday;16470;29;rain;
Holstenstraße (Mitte), Kiel;2020-08-18 00:00:00 +0200;Tuesday;22513;26;rain;
Holstenstraße (Mitte), Kiel;2020-08-19 00:00:00 +0200;Wednesday;18204;26;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-08-20 00:00:00 +0200;Thursday;20256;25;rain;
Holstenstraße (Mitte), Kiel;2020-08-21 00:00:00 +0200;Friday;18475;25;rain;
Holstenstraße (Mitte), Kiel;2020-08-22 00:00:00 +0200;Saturday;24920;24;rain;
Holstenstraße (Mitte), Kiel;2020-08-23 00:00:00 +0200;Sunday;5767;21;rain;
Holstenstraße (Mitte), Kiel;2020-08-24 00:00:00 +0200;Monday;17197;19;rain;
Holstenstraße (Mitte), Kiel;2020-08-25 00:00:00 +0200;Tuesday;18884;20;rain;
Holstenstraße (Mitte), Kiel;2020-08-26 00:00:00 +0200;Wednesday;14160;21;rain;
Holstenstraße (Mitte), Kiel;2020-08-27 00:00:00 +0200;Thursday;19993;19;rain;
Holstenstraße (Mitte), Kiel;2020-08-28 00:00:00 +0200;Friday;21966;20;rain;
Holstenstraße (Mitte), Kiel;2020-08-29 00:00:00 +0200;Saturday;27333;21;rain;
Holstenstraße (Mitte), Kiel;2020-08-30 00:00:00 +0200;Sunday;7133;22;rain;
Holstenstraße (Mitte), Kiel;2020-08-31 00:00:00 +0200;Monday;20979;20;rain;
Holstenstraße (Mitte), Kiel;2020-09-01 00:00:00 +0200;Tuesday;20631;19;clear-day;
Holstenstraße (Mitte), Kiel;2020-09-02 00:00:00 +0200;Wednesday;19695;20;rain;
Holstenstraße (Mitte), Kiel;2020-09-03 00:00:00 +0200;Thursday;17191;19;rain;
Holstenstraße (Mitte), Kiel;2020-09-04 00:00:00 +0200;Friday;22305;21;rain;
Holstenstraße (Mitte), Kiel;2020-09-05 00:00:00 +0200;Saturday;28304;19;rain;
Holstenstraße (Mitte), Kiel;2020-09-06 00:00:00 +0200;Sunday;10027;18;rain;
Holstenstraße (Mitte), Kiel;2020-09-07 00:00:00 +0200;Monday;19985;19;clear-day;
Holstenstraße (Mitte), Kiel;2020-09-08 00:00:00 +0200;Tuesday;18702;21;rain;
Holstenstraße (Mitte), Kiel;2020-09-09 00:00:00 +0200;Wednesday;16929;21;rain;
Holstenstraße (Mitte), Kiel;2020-09-10 00:00:00 +0200;Thursday;20419;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-09-11 00:00:00 +0200;Friday;23285;20;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-09-12 00:00:00 +0200;Saturday;26826;19;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-09-13 00:00:00 +0200;Sunday;8354;22;cloudy;
